,1,2,3,4,5,6,7,8,9,10,11,12
A,7041,5787,5769,3512,3528,3462,3442,3496,3408,3506,3386,3430
B,5790,5758,5813,3440,3404,3414,3514,3650,3444,3532,3434,3526
C,5807,5939,6107,3291,3438,3420,3450,3530,3410,3432,3464,3372
D,5759,5850,5898,3392,3508,3382,3402,3396,3424,3502,3468,3494
E,6126,5799,3412,3460,3446,3366,3374,3470,3370,3482,3542,3439
F,6082,6123,3654,3418,3670,3480,3472,3428,3516,3356,3476,3489
G,5843,6131,3384,3422,3448,3662,3668,3376,3390,3630,3388,3499
H,7044,5909,3466,3498,3486,3540,3664,3456,3452,3544,3360,3483
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,15D3,16B3,16D1,1C2,3B1,4D3,5C5,7A2,8B3,10A3,12B4,13A5
B,15D4,16B4,16D2,1C3,3B2,5A3,5D2,7A3,8C2,10A5,12B5,13B1
C,16A2,16B5,16D3,1C4,3C2,5B1,6A2,7B1,8C4,10B5,12C1,13B2
D,16A3,16C1,16D4,1D1,4A3,5B2,6B1,7C2,9A4,10C5,12C5,13D3
E,16A4,16C2,1A2,2B1,4A4,5B4,6C2,7C5,9B2,11C4,12D1,14B1
F,16A5,16C3,1A3,2C2,4B2,5B5,6C3,7D2,9B3,12A5,12D4,14B2
G,16B1,16C4,1B3,2D3,4C4,5C1,6C5,7D3,9D1,12B1,13A3,14B3
H,16B2,16C5,1C1,3A4,4D2,5C2,6D3,8B2,10A2,12B3,13A4,14B4
