Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
82,G10,3535,469,SW714,3,PSW714_1,302,16A2,3535
83,G11,7521,,HB46,,HB_HB46.12,,,7521
84,G12,7529,,K15,,KB_K15.32,,,7529
85,H1,3426,360,UD7,2,PUD7_7,295,15C5,3426
86,H2,5549,187,K13,3,KB_K13.4,68,4B3,5549
87,H3,5712,251,UP45,3,UDP_UP45.7,138,7D3,5712
88,H4,6054,9,SB9,3,SB_SB9.2,190,10B5,6054
89,H5,6068,101,M8,3,UDP_M8.7,292,15C2,6068
90,H6,7019,,M19,5,MB_M19.1,,3A5,7019
91,H7,7509,462,FG1,5,WOR_FG1.3,193,10C3,7509
92,H8,6128,,MB14,5,MID_MB14.2,,7A5,6128
93,H9,5841,420,ME8,5,ME_ME8.21,147,8B2,5841
94,H10,3445,379,M16U,3,PM16U_9,309,16B4,3445
95,H11,7522,,VR23,,VR_VR23.25,,,7522
96,H12,7530,,NR9,,NR_NR9.2,,,7530
