Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,3389,323,K19,3,PK19_14,253,13C3,3389
2,A2,7517,,NR9,3,NR_NR9.1,,1A4,7517
3,A3,5704,193,UP39,3,UDP_UP39.2,74,4C4,5704
4,A4,5715,257,UP45,3,UDP_UP45.10,146,8B1,5715
5,A5,6055,12,PK2,3,PK_PK2.2,193,10C3,6055
6,A6,7504,,HB43,3,HB_HB43.7,,15D3,7504
7,A7,6130,335,M8,5,UDP_M8.9,52,3C2,6130
8,A8,7510,,ORW8,5,PK_ORW8.1,,10D3,7510
9,A9,7506,,NR6.2,5,NR_NR6.2,,7B1,7506
10,A10,6122,430,HB19,5,HB_HB19.6,157,8D2,6122
11,A11,3493,427,ME15,3,PME15_1,317,16D2,3493
12,A12,7523,,HB41,,HB_HB41.10,,,7523
13,B1,3497,431,ME15,3,PME15_5,256,13D1,3497
14,B2,5701,138,UP38,3,UDP_UP38.25,13,1C3,5701
15,B3,6051,196,ME8,3,ME_ME8.10,77,4D2,6051
16,B4,5728,263,VR27,3,VR_VR27.7,152,8C2,5728
17,B5,7516,,MB12,3,MID_MB12.2,,11D2,7516
18,B6,6061,117,SW4,3,SW_SW4.2,310,16B5,6061
19,B7,6118,336,PK2,5,PK_PK2.1,53,3C3,6118
20,B8,7512,,UP45,5,UDP_UP45.26,,12C4,7512
21,B9,7507,,EZ19,5,EZE_EZ19.1,,7B4,7507
22,B10,6088,,EZ5.6,5,EZE_EZ5.6,,13B2,6088
23,B11,3513,447,SW4,3,PSW4_1,318,16D3,3513
24,B12,7524,,ME6,,ME_ME6.45,,,7524
25,C1,3488,422,PK20,2,PPK20_1,282,15A2,3488
26,C2,6058,140,UD4,3,UDP_UD4.11,15,1C5,6058
27,C3,7515,198,UD4,3,UDP_UD4.9,79,4D4,7515
28,C4,5548,266,K13,3,KB_K13.2,155,8C5,5548
29,C5,7502,,ME6,3,ME_ME6.12,,12C1,7502
30,C6,6062,122,M8,3,UDP_M8.6,315,16C5,6062
31,C7,7800,,MB14,5,MID_MB14.1,,4D3,7800
32,C8,6132,370,ME6,5,ME_ME6.13,91,5C1,6132
33,C9,6099,232,EZ8,3,EZE_EZ8.4,117,6D2,6099
34,C10,7033,,D,5,PK_D.6,,14D3,7033
35,C11,3679,613,ORW14,3,PORW14_1,319,16D4,3679
36,C12,7525,,ME8,,ME_ME8.26,,,7525
37,D1,3406,340,EZ1,2,PEZ1_3,285,15A5,3406
38,D2,5501,145,EZ11,3,EZE_EZ11.9,22,2A2,5501
39,D3,7500,,NR12,3,NR_NR12.1,,5C4,7500
40,D4,5670,268,UD13,3,UDP_UD13.9,157,8D2,5670
41,D5,6062,122,M8,3,UDP_M8.6,315,16C5,6062
42,D6,5950,300,UP39,5,UDP_UP39.5,13,1C3,5950
43,D7,6133,433,VR27,5,VR_VR27.11,162,9A2,6133
44,D8,6095,377,M13,5,UDP_M13.2,98,5D3,6095
45,D9,7508,,MB11,5,MID_MB11.2,,7C5,7508
46,D10,7034,545,SEW6,5,SEW_SEW6.8,286,15B1,7034
47,D11,3378,312,K19,2,PK19_3,298,15D3,3378
48,D12,7526,,SEW6,,SW_SEW6.9,,,7526
49,E1,3478,412,ME16,2,PME16_3,287,15B2,3478
50,E2,6067,170,M26,3,MID_M26.1,49,3B4,6067
51,E3,7014,,NR8,3,NR_NR8.16,,5D2,7014
52,E4,5574,269,ME17,3,ME_ME17.30,158,8D3,5574
53,E5,6066,53,HB28,3,HB_HB28.7,238,12D3,6066
54,E6,6134,301,M8,5,UDP_M8.10,14,1C4,6134
55,E7,7038,,FG24,5,UDP_M4.15,,9B4,7038
56,E8,7023,,VR19,5,VR_VR19.4,,6A3,7023
57,E9,5946,411,UP38,5,UDP_UP38.6,136,7D1,5946
58,E10,7513,,M4,5,UDP_M4.14,,15B2,7513
59,E11,7519,,SW13,,SW_SW13.1,,,7519
60,E12,7527,,HB17,,HB_HB17.6,,,7527
61,F1,3518,452,HB12,2,PHB12_2,290,15B5,3518
62,F2,check id,,,,,,,
63,F3,7501,,EZE8,3,EZE_EZ8.4,,6D2,7501
64,F4,6064,270,NR12,3,NR_NR12.3,159,8D4,6064
65,F5,6053,71,M22,3,MID_M22.2,258,13D3,6053
66,F6,7017,,ME17,5,ME_ME17.22,,2A5,7017
67,F7,7028,,VR16,5,VR_VR16.3,,9D3,7028
68,F8,5848,,HB17,5,HB_HB17.3,,6D3,5848
69,F9,7024,,UD13,5,UDP_UD13.12,,8A2,7024
70,F10,7514,,HB41.14,5,HB_HB41.14,,16B2,7514
71,F11,7520,,K15,,KB_K15.31,,,7520
72,F12,7528,,EZ2,,EZE_EZ2.5,,,7528
73,G1,3362,296,SB16,2,PSB16_8,291,15C1,3362
74,G2,6052,185,M13,3,UDP_M13.11,66,4B1,6052
75,G3,6059,234,K8,3,KB_K8.2,119,6D4,6059
76,G4,7007,,VR19,3,VR_VR19.3,,9B4,7007
77,G5,5727,81,VR27,3,VR_VR27.5,270,14B5,5727
78,G6,7018,,HB43,5,HB_HB43.8,,2C4,7018
79,G7,5818,459,ME17,5,ME_ME17.29,190,10B5,5818
80,G8,5848,,HB17,5,HB_HB17.3,,6D3,5848
81,G9,7025,,NR8,5,NR_NR8.15,,8A5,7025
