,1,2,3,4,5,6,7,8,9,10,11,12
A,6022,5715,6005,5661,5571,5607,6038,5593,5665,7009,5698,5528
B,5691,5672,5548,5512,6018,5518,5652,5521,5609,5722,5673,5705
C,5712,6010,5515,5713,5560,5671,5729,5624,5666,5707,7516,5610
D,6020,5553,5670,5534,5690,6041,6043,5572,5550,5608,5589,6013
E,5664,5581,5574,6034,5597,5544,7016,5700,5520,5502,6027,7502
F,5588,6009,5510,5527,5714,6012,5562,5586,5522,5718,5716,5674
G,5741,5728,6011,5742,6049,5576,5611,7008,5545,5621,5596,5561
H,5605,5538,5551,5587,6048,5543,6025,5567,5541,5564,5565,5730
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,7D1,8B1,8C4,13A5,13C3,9A5,9C5,10B1,10D1,11B1,11C5,12B1
B,7D2,8B2,8C5,13B1,13C4,9B1,9D1,10B2,10D2,11B2,11D1,12B3
C,7D3,8B3,8D1,13B2,13C5,9B2,9D2,10B3,10D3,11B3,11D2,12B4
D,7D4,8B4,8D2,13B3,13D1,9B5,9D3,10B4,10D4,11B4,11D3,12B5
E,8A2,8B5,8D3,13B4,13D2,9C1,9D4,10C1,11A2,11B5,11D4,12C1
F,8A3,8C1,13A2,13B5,13D4,9C2,10A2,10C2,11A3,11C1,12A2,12C2
G,8A4,8C2,13A3,13C1,9A2,9C3,10A3,10C4,11A4,11C2,12A3,12C3
H,8A5,8C3,13A4,13C2,9A4,9C4,10A4,10C5,11A5,11C4,12A4,12C4
