Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
58,E10,3531,465,SEW3,3,PSEW3_2,176,9D1,3531
59,E11,3467,401,K100,3,PK100_2,210,11B5,3467
60,E12,3539,473,fg2,3,Pfg2_1,234,12C4,3539
61,F1,3478,412,ME16,2,PME16_3,287,15B2,3478
62,F2,3394,328,K19,2,PK19_19,308,16B3,3394
63,F3,3417,351,UD4,3,PUD4_5,16,1D1,3417
64,F4,3415,349,UD4,3,PUD4_3,42,3A2,3415
65,F5,3469,403,HB5,3,PHB5_1,59,3D4,3469
66,F6,3421,355,UD7,3,PUD7_2,87,5B2,3421
67,F7,3485,419,VR1,3,PVR1_1,99,5D4,3485
68,F8,3423,357,UD7,3,PUD7_4,132,7C2,3423
69,F9,3521,455,FG21,3,PFG21_2,157,8D2,3521
70,F10,3707,641,pel-VR1,3,PVR1_2,177,9D2,3707
71,F11,3653,587,NR8,3,PNR8_2,213,11C3,3653
72,F12,3649,583,PK20,3,PPK20_3,244,13A4,3649
73,G1,3518,452,HB12,2,PHB12_2,290,15B5,3518
74,G2,3355,288,K15,2,PK15_6,311,16C1,3355
75,G3,3503,437,K19,3,PK19_26,19,1D4,3503
76,G4,3475,409,K8,3,PK8_1,44,3A4,3475
77,G5,3715,289,SB16,3,PSB16_1,66,4B1,3715
78,G6,3543,477,fg2,3,Pfg2_5,88,5B3,3543
79,G7,3507,441,MB16,3,PMB16_3,103,6A3,3507
80,G8,3443,377,M16U,3,PM16U_7,135,7C5,3443
81,G9,3419,353,UD4,3,PUD4_7,158,8D3,3419
82,G10,3495,429,ME15,3,PME15_3,183,10A3,3495
83,G11,3290,223,K15,3,PK15_1,214,11C4,3290
84,G12,3405,339,EZ1,3,PEZ1_2,246,13B1,3405
85,H1,3362,296,SB16,2,PSB16_8,291,15C1,3362
86,H2,3416,350,UD4,2,PUD4_4,314,16C4,3416
87,H3,3669,603,HB15,3,PHB15_3,22,2A2,3669
88,H4,3519,453,HB12,3,PHB12_3,48,3B3,3519
89,H5,3433,367,UD11,3,PUD11_4,69,4B4,3433
90,H6,3379,313,K19,3,PK19_4,89,5B4,3379
91,H7,3537,471,EZ5,3,PEZ5_2,109,6B4,3537
92,H8,3437,371,M16U,3,PM16U_1,138,7D3,3437
93,H9,3312,245,pel-K15,3,PK15_4,163,9A3,3312
94,H10,3441,375,M16U,3,PM16U_5,188,10B3,3441
95,H11,3447,381,SW11,3,PSW11_2,215,11C5,3447
96,H12,3407,341,EZ1,3,PEZ1_4,251,13C1,3407
