Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,3292,225,K15,3,PK15_3,271,14C1,3292
2,A2,3426,360,UD7,2,PUD7_7,295,15C5,3426
3,A3,3492,426,HB13,2,PHB13_1,317,16D2,3492
4,A4,3663,597,K6,3,PK6_1,28,2B3,3663
5,A5,3477,411,ME16,3,PME16_2,49,3B4,3477
6,A6,3385,319,K19,3,PK19_10,70,4B5,3385
7,A7,3473,407,HB5,3,PHB5_5,91,5C1,3473
8,A8,3393,327,K19,3,PK19_18,113,6C3,3393
9,A9,3391,325,K19,3,PK19_16,143,8A3,3391
10,A10,3431,365,UD11,3,PUD11_2,164,9A4,3431
11,A11,3629,563,K7,3,PK7_1,189,10B4,3629
12,A12,3369,303,SB10,3,PSB10_5,223,12A3,3369
13,B1,3399,333,K19,3,PK19_24,273,14C3,3399
14,B2,3378,312,K19,2,PK19_3,298,15D3,3378
15,B3,3455,389,M1U,3,PM1U_5,4,1A4,3455
16,B4,3427,361,UD7,3,PUD7_8,33,2C3,3427
17,B5,3461,395,ME10,3,PME10_2,53,3C3,3461
18,B6,3523,457,FG21,3,PFG21_4,75,4C5,3523
19,B7,3367,301,SB10,3,PSB10_3,92,5C2,3367
20,B8,3429,363,UD7,3,PUD7_10,115,6C5,3429
21,B9,3435,369,UD11,3,PUD11_6,153,8C3,3435
22,B10,3377,311,K19,3,PK19_2,165,9A5,3377
23,B11,3354,287,K15,3,PK15_5,198,10D3,3354
24,B12,3371,305,K3,3,PK3_2,224,12A4,3371
25,C1,3397,331,K19,3,PK19_22,278,14D3,3397
26,C2,3436,370,UD11,2,PUD11_7,302,16A2,3436
27,C3,3471,405,HB5,3,PHB5_3,6,1B1,3471
28,C4,3671,605,K7,3,PK7_2,36,2D1,3671
29,C5,3479,413,ME17,3,PME17_1,54,3C4,3479
30,C6,3363,297,SB16,3,PSB16_9,77,4D2,3363
31,C7,3453,387,M1U,3,PM1U_3,93,5C3,3453
32,C8,3409,343,EZ1,3,PEZ1_6,119,6D4,3409
33,C9,3375,309,K15,3,PK15_9,154,8C4,3375
34,C10,3463,397,ME10,3,PME10_4,169,9B4,3463
35,C11,3387,321,K19,3,PK19_12,207,11B2,3387
36,C12,3381,315,K19,3,PK19_6,228,12B3,3381
37,D1,3488,422,PK20,2,PPK20_1,282,15A2,3488
38,D2,3358,292,SB16,2,PSB16_4,303,16A3,3358
39,D3,3501,435,MB12,3,PMB12_3,7,1B2,3501
40,D4,3665,599,K6,3,PK6_3,37,2D2,3665
41,D5,3425,359,UD7,3,PUD7_6,55,3C5,3425
42,D6,3357,291,SB16,3,PSB16_3,85,5A5,3357
43,D7,3403,337,K13,3,PK13_3,94,5C4,3403
44,D8,3525,459,HB33,3,PHB33_1,126,7B1,3525
45,D9,3487,421,SWEUSE3,3,PSWEUSE3_2,155,8C5,3487
46,D10,3401,335,K13,3,PK13_1,175,9C5,3401
47,D11,3361,295,SB16,3,PSB16_7,208,11B3,3361
48,D12,3395,329,K19,3,PK19_20,232,12C2,3395
49,E1,3406,340,EZ1,2,PEZ1_3,285,15A5,3406
50,E2,3380,314,K19,2,PK19_5,305,16A5,3380
51,E3,3527,461,HB33,3,PHB33_3,10,1B5,3527
52,E4,3511,445,EZ1,3,PEZ1_7,39,2D4,3511
53,E5,3667,601,HB13,3,PHB13_2,56,3D1,3667
54,E6,3505,439,MB16,3,PMB16_1,86,5B1,3505
55,E7,3517,451,HB12,3,PHB12_1,95,5C5,3517
56,E8,3413,347,UD4,3,PUD4_1,130,7B5,3413
57,E9,3529,463,HB33,3,PHB33_5,156,8D1,3529
