Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,6079,340,HB28,5,HB_HB28.5,57,3D2,6079
2,A2,5905,350,UD10,5,UDP_UD10.6,69,4B4,5905
3,A3,7800,,MB14,5,MID_MB14.1,,4D3,7800
4,A4,5888,369,M13,5,UDP_M13.10,90,5B5,5888
5,A5,5853,378,MEP2,5,ME_MEP2.6,99,5D4,5853
6,A6,5821,387,ME17,5,ME_ME17.12,110,6B5,5821
7,A7,6104,,,,,,,
8,A8,5832,403,ME6,5,ME_ME6.4,128,7B3,5832
9,A9,5798,412,K15,5,KB_K15.3,137,7D2,5798
10,A10,5839,423,ME6,5,ME_ME6.11,150,8B5,5839
11,A11,5924,432,UD20,5,UDP_UD20.2,159,8D4,5924
12,A12,5913,443,UD13,5,UDP_UD13.21,172,9C2,5913
13,B1,5809,341,K7,5,KB_K7.1,58,3D3,5809
14,B2,5795,351,K13,5,KB_K13.7,70,4B5,5795
15,B3,5953,360,UP39,5,UDP_UP39.1,79,4D4,5953
16,B4,6087,371,EZ5,5,EZE_EZ5.4,92,5C2,6087
17,B5,5897,379,M5,5,UDP_M5.1,102,6A2,5897
18,B6,5763,388,HB11,5,HB_HB11.3,111,6C1,5763
19,B7,5971,396,VR27,5,VR_VR27.4,119,6D4,5971
20,B8,6140,404,EZ19,5,EZE_EZ19.1,129,7B4,6140
21,B9,5870,413,SB6,5,SB_SB6.1,138,7D3,5870
22,B10,5746,424,EZ11,5,EZE_EZ11.1,151,8C1,5746
23,B11,5827,434,ME2,5,ME_ME2.6,163,9A3,5827
24,B12,5762,444,HB11,5,HB_HB11.1,173,9C3,5762
25,C1,5831,343,ME6,5,ME_ME6.23,62,4A2,5831
26,C2,6071,352,EZ7,5,EZE_EZ7.3,71,4C1,6071
27,C3,5895,361,M4,5,UDP_M4.2,82,5A2,5895
28,C4,5893,372,M1U,5,UDP_M1U.1,93,5C3,5893
29,C5,5984,381,FG20,5,WOR_FG20.6,104,6A4,5984
30,C6,5936,389,UD4,5,UDP_UD4.7,112,6C2,5936
31,C7,6110,397,NR12,5,NR_NR12.2,122,7A2,6110
32,C8,5951,405,UP39,5,UDP_UP39.7,130,7B5,5951
33,C9,5820,414,ME17,5,ME_ME17.10,139,7D4,5820
34,C10,5800,425,K15,5,KB_K15.7,152,8C2,5800
35,C11,5840,435,ME6,5,ME_ME6.32,164,9A4,5840
36,C12,5844,445,ME8,5,ME_ME8.23,174,9C4,5844
37,D1,5867,344,SB10,5,SB_SB10.1,63,4A3,5867
38,D2,6127,354,FG24,5,FG_FG24.10,73,4C3,6127
39,D3,5873,364,SB9,5,SB_SB9.1,85,5A5,5873
40,D4,5975,373,VR27,5,VR_VR27.2,94,5C4,5975
41,D5,5775,382,HB19,5,HB_HB19.2,105,6A5,5775
42,D6,5848,,HB17,5,HB_HB17.3,,6D3,5848
43,D7,5959,398,UP45,5,UDP_UP45.22,123,7A3,5959
44,D8,6090,406,VR13,5,VR_VR13.6,131,7C1,6090
45,D9,6085,416,EZ1,5,EZE_EZ1.6,143,8A3,6085
46,D10,5912,426,UD13,5,UDP_UD13.19,153,8C3,5912
47,D11,5944,436,UP38,5,UDP_UP38.22,165,9A5,5944
48,D12,5847,446,ME8,5,ME_ME8.26,175,9C5,5847
49,E1,5927,345,UD20,5,UDP_UD20.4,64,4A4,5927
50,E2,5952,355,UP39,5,UDP_UP39.9,74,4C4,5952
51,E3,5857,365,ORW12,5,ORW_ORW12.1,86,5B1,5857
52,E4,5874,374,SW13,5,SB_SW13.1,95,5C5,5874
53,E5,6106,383,EZ10,5,EZE_EZ10.2,106,6B1,6106
54,E6,5933,391,UD20,5,UDP_UD20.11,114,6C4,5933
55,E7,6069,399,ME8,5,ME_ME8.2,124,7A4,6069
56,E8,5887,407,M13,5,UDP_M13.9,132,7C2,5887
57,E9,5791,417,K100,5,KB_K100.3,144,8A4,5791
58,E10,5786,427,HB47,5,HB_HB47.3,154,8C4,5786
59,E11,5796,438,K13,5,KB_K13.9,167,9B2,5796
60,E12,5972,447,VR27,5,VR_VR27.6,176,9D1,5972
61,F1,5750,346,EZ2,5,EZE_EZ2.4,65,4A5,5750
62,F2,5773,356,HB16,5,HB_HB16.6,75,4C5,5773
63,F3,5900,366,M8,5,UDP_M8.1,87,5B2,5900
64,F4,5838,375,ME6,5,ME_ME6.30,96,5D1,5838
65,F5,5958,384,UP45,5,UDP_UP45.20,107,6B2,5958
66,F6,5754,392,EZ4,5,EZE_EZ4.4,115,6C5,5754
67,F7,6128,,MB14,5,MID_MB14.2,,7A5,6128
68,F8,5869,408,SB16,5,SB_SB16.2,133,7C3,5869
69,F9,5985,419,FG20,5,WOR_FG20.1,146,8B1,5985
70,F10,5792,428,K13,5,KB_K13.1,155,8C5,5792
71,F11,6084,439,EZ1,5,EZE_EZ1.4,168,9B3,6084
72,F12,5817,450,ME17,5,ME_ME17.27,179,9D4,5817
73,G1,5886,348,M13,5,UDP_M13.6,67,4B2,5886
74,G2,5891,357,M1U,5,UDP_M1U.7,76,4D1,5891
75,G3,5849,367,ME9,5,ME_ME9.3,88,5B3,5849
76,G4,5983,376,fg2,5,WOR_fg2.4,97,5D2,5983
77,G5,5756,385,EZ6,5,EZE_EZ6.3,108,6B3,5756
78,G6,5940,393,UP38,5,UDP_UP38.4,116,6D1,5940
79,G7,6089,309,NR6,5,NR_NR6.2,24,2A4,6089
80,G8,7508,,MB11,5,MID_MB11.2,,7C5,7508
81,G9,5854,421,MEP2,5,ME_MEP2.8,148,8B3,5854
82,G10,5955,429,UP45,5,UDP_UP45.4,156,8D1,5955
83,G11,5968,441,VR19,5,VR_VR19.1,170,9B5,5968
84,G12,5979,451,VR32,5,VR_VR32.2,182,10A2,5979
85,H1,5863,349,P20,5,PK_P20.1,68,4B3,5863
86,H2,5919,358,UD14,5,UDP_UD14.3,77,4D2,5919
87,H3,5808,368,K3,5,KB_K3.2,89,5B4,5808
88,H4,6095,377,M13,5,UDP_M13.2,98,5D3,6095
89,H5,5935,386,UD4,5,UDP_UD4.5,109,6B4,5935
90,H6,5986,394,FG20,5,WOR_FG20.3,117,6D2,5986
91,H7,6083,402,EZ1,5,EZE_EZ1.2,127,7B2,6083
92,H8,5946,411,UP38,5,UDP_UP38.6,136,7D1,5946
93,H9,5747,422,EZ11,5,EZE_EZ11.3,149,8B4,5747
94,H10,5816,431,ME17,5,ME_ME17.25,158,8D3,5816
95,H11,5922,442,UD14,5,UDP_UD14.5,171,9C1,5922
96,H12,5835,452,ME6,5,ME_ME6.10,183,10A3,5835
