Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,6062,122,M8,3,UDP_M8.6,315,16C5,6062
2,A2,7012,,HB11,3,HB_HB11.17,,14B1,7012
3,A3,5634,85,SEWUSE3,3,SEW_SEWUSE3.1,274,14C4,5634
4,A4,5734,93,VR31,3,VR_VR31.2,284,15A4,5734
5,A5,5556,103,K15,3,KB_K15.8,294,15C4,5556
6,A6,6000,112,EZ7,3,EZE_EZ7.1,305,16A5,6000
7,A7,6037,121,M13,3,UDP_M13.8,314,16C4,6037
8,A8,5883,292,M13,5,UDP_M13.2,5,1A5,5883
9,A9,5950,300,UP39,5,UDP_UP39.5,13,1C3,5950
10,A10,6089,309,NR6,5,NR_NR6.2,24,2A4,6089
11,A11,5982,318,fg2,5,WOR_fg2.1,33,2C3,5982
12,A12,6081,330,HB46,5,HB_HB46.4,47,3B2,6081
13,B1,5612,51,ORW1,3,ORW_ORW1.1,236,12D1,5612
14,B2,6039,78,M13,3,UDP_M13.27,267,14B2,6039
15,B3,5639,86,M13,3,UDP_M13.3,275,14C5,5639
16,B4,5558,94,K15,3,KB_K15.1,285,15A5,5558
17,B5,5583,104,ME2,3,ME_ME2.7,295,15C5,5583
18,B6,6017,113,EZ5,3,EZE_EZ5.5,306,16B1,6017
19,B7,5679,123,UD20,3,UDP_UD20.1,316,16D1,5679
20,B8,5911,293,UD13,5,UDP_UD13.7,6,1B1,5911
21,B9,5785,302,HB47,5,HB_HB47.1,15,1C5,5785
22,B10,5889,311,M13,5,UDP_M13.1,26,2B1,5889
23,B11,6112,320,EZ16,5,EZE_EZ16.3,35,2C5,6112
24,B12,5834,331,ME6,5,ME_ME6.8,48,3B3,5834
25,C1,5649,52,M1U,3,UDP_M1U.2,237,12D2,5649
26,C2,5546,79,K100,3,KB_K100.2,268,14B3,5546
27,C3,5594,87,ME6,3,ME_ME6.31,276,14D1,5594
28,C4,5699,95,UP38,3,UDP_UP38.21,286,15B1,5699
29,C5,6045,105,HB17,3,HB_HB17.2,296,15D1,6045
30,C6,6033,114,M13,3,UDP_M13.1,307,16B2,6033
31,C7,5568,124,ME17,3,ME_ME17.4,317,16D2,5568
32,C8,6100,294,HB32,5,HB_HB32.1,7,1B2,6100
33,C9,6073,303,FG27,5,FG_FG27.3,16,1D1,6073
34,C10,6114,312,1607,5,MID_1607.1,27,2B2,6114
35,C11,5856,321,ORW1,5,ORW_ORW1.2,36,2D1,5856
36,C12,5788,332,HB49,5,HB_HB49.4,49,3B4,5788
37,D1,5620,54,LG15,3,PKHLEI_LG15.1,239,12D4,5620
38,D2,5632,80,SEW6,3,SEW_SEW6.3,269,14B4,5632
39,D3,6008,88,HB46,3,HB_HB46.1,277,14D2,6008
40,D4,5653,96,M5,3,UDP_M5.2,287,15B2,5653
41,D5,6015,106,EZ5,3,EZE_EZ5.1,297,15D2,6015
42,D6,5710,115,UP45,3,UDP_UP45.3,308,16B3,5710
43,D7,5514,125,EZ9,3,EZE_EZ9.4,318,16D3,5514
44,D8,6098,295,EZ8,5,EZE_EZ8.2,8,1B3,6098
45,D9,5908,304,UD13,5,UDP_UD13.4,17,1D2,5908
46,D10,5884,313,M13,5,UDP_M13.4,28,2B3,5884
47,D11,5836,322,ME6,5,ME_ME6.26,37,2D2,5836
48,D12,5973,333,VR27,5,VR_VR27.8,50,3B5,5973
49,E1,5600,73,ME8,3,ME_ME8.24,262,14A2,5600
50,E2,5727,81,VR27,3,VR_VR27.5,270,14B5,5727
51,E3,5505,89,EZ2,3,EZE_EZ2.3,278,14D3,5505
52,E4,5509,98,EZ4,3,EZE_EZ4.3,289,15B4,5509
53,E5,5659,108,UD10,3,UDP_UD10.3,299,15D4,5659
54,E6,5731,116,VR3,3,VR_VR3.1,309,16B4,5731
55,E7,5554,126,K15,3,KB_K15.4,319,16D4,5554
56,E8,5896,296,M4,5,UDP_M4.4,9,1B4,5896
57,E9,5774,305,HB19,5,HB_HB19.5,18,1D3,5774
58,E10,5753,314,EZ4,5,EZE_EZ4.2,29,2B4,5753
59,E11,5830,323,ME6,5,ME_ME6.21,38,2D3,5830
60,E12,5871,334,SB7,5,SB_SB7.1,51,3C1,5871
61,F1,5616,74,D,3,PK_D.3,263,14A3,5616
62,F2,5578,82,ME17,3,ME_ME17.33,271,14C1,5578
63,F3,5585,90,ME6,3,ME_ME6.3,279,14D4,5585
64,F4,5531,99,HB19,3,HB_HB19.3,290,15B5,5531
65,F5,5535,109,HB41,3,HB_HB41.5,302,16A2,5535
66,F6,5669,118,UD13,3,UDP_UD13.22,311,16C1,5669
67,F7,5965,289,VR10,5,VR_VR10.1,2,1A2,5965
68,F8,5918,297,UD14,5,UDP_UD14.1,10,1B5,5918
69,F9,5757,306,EZ9,5,EZE_EZ9.1,19,1D4,5757
70,F10,5826,315,ME2,5,ME_ME2.4,30,2B5,5826
71,F11,5948,325,UP38,5,UDP_UP38.10,42,3A2,5948
72,F12,5989,337,FG30,5,WOR_FG30.1,54,3C4,5989
73,G1,5592,75,ME6,3,ME_ME6.27,264,14A4,5592
74,G2,5662,83,UD13,3,UDP_UD13.1,272,14C2,5662
75,G3,5645,91,M1U,3,UDP_M1U.4,282,15A2,5645
76,G4,6026,100,LG16,3,LG_LG16.1,291,15C1,6026
77,G5,6016,110,EZ5,3,EZE_EZ5.3,303,16A3,6016
78,G6,5692,119,UD4,3,UDP_UD4.8,312,16C2,5692
79,G7,5819,290,ME17,5,ME_ME17.31,3,1A3,5819
80,G8,6077,298,HB28,5,HB_HB28.2,11,1C1,6077
81,G9,6101,307,HB32,5,HB_HB32.4,22,2A2,6101
82,G10,5901,316,M8,5,UDP_M8.3,31,2C1,5901
83,G11,5937,326,UD4,5,UDP_UD4.1,43,3A3,5937
84,G12,5876,338,SEW6,5,SEW_SEW6.2,55,3C5,5876
85,H1,5732,76,VR31,3,VR_VR31.3,265,14A5,5732
86,H2,5706,84,UP39,3,UDP_UP39.6,273,14C3,5706
87,H3,5697,92,UP38,3,UDP_UP38.17,283,15A3,5697
88,H4,5523,102,HB14,3,HB_HB14.6,293,15C3,5523
89,H5,5599,111,ME8,3,ME_ME8.22,304,16A4,5599
90,H6,5555,120,K15,3,KB_K15.6,313,16C3,5555
91,H7,5783,291,HB47,5,HB_HB47.6,4,1A4,5783
92,H8,5797,299,K13,5,KB_K13.11,12,1C2,5797
93,H9,5779,308,HB41,5,HB_HB41.4,23,2A3,5779
94,H10,5906,317,UD10,5,UDP_UD10.8,32,2C2,5906
95,H11,5842,329,ME8,5,ME_ME8.3,46,3B1,5842
96,H12,5942,339,UP38,5,UDP_UP38.18,56,3D1,5942
