Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
48,D12,3494,428,ME15,2,PME15_2,258,13D3,3494
49,E1,6126,561,UD13,5,UDP_UD13.12,304,16A4,6126
50,E2,5799,569,K15,5,KB_K15.5,312,16C2,5799
51,E3,3412,346,EZ3,2,PEZ3_1,2,1A2,3412
52,E4,3460,394,ME10,2,PME10_1,26,2B1,3460
53,E5,3446,380,SW11,2,PSW11_1,64,4A4,3446
54,E6,3366,300,SB10,2,PSB10_2,89,5B4,3366
55,E7,3374,308,K15,2,PK15_8,112,6C2,3374
56,E8,3470,404,HB5,2,PHB5_2,135,7C5,3470
57,E9,3370,304,K3,2,PK3_1,167,9B2,3370
58,E10,3482,416,HB15,2,PHB15_1,214,11C4,3482
59,E11,3542,476,fg2,2,Pfg2_4,236,12D1,3542
60,E12,3439,373,M16U,3,PM16U_3,266,14B1,3439
61,F1,6082,562,HB46,5,HB_HB46.6,305,16A5,6082
62,F2,6123,570,MEP2,5,ME_MEP2.9,313,16C3,6123
63,F3,3654,588,NR8,2,PNR8_3,3,1A3,3654
64,F4,3418,352,UD4,2,PUD4_6,32,2C2,3418
65,F5,3670,604,K100,2,PK100_4,67,4B2,3670
66,F6,3480,414,NR16,2,PNR16_1,90,5B5,3480
67,F7,3472,406,HB5,2,PHB5_4,113,6C3,3472
68,F8,3428,362,UD7,2,PUD7_9,137,7D2,3428
69,F9,3516,450,SW4,2,PSW4_4,168,9B3,3516
70,F10,3356,290,SB16,2,PSB16_2,225,12A5,3356
71,F11,3476,410,ME16,2,PME16_1,239,12D4,3476
72,F12,3489,423,PK20,3,PPK20_2,267,14B2,3489
73,G1,5843,563,ME8,5,ME_ME8.5,306,16B1,5843
74,G2,6131,571,PH13,5,PK_PH13.1,314,16C4,6131
75,G3,3384,318,K19,2,PK19_9,8,1B3,3384
76,G4,3422,356,UD7,2,PUD7_3,38,2D3,3422
77,G5,3448,382,SW11,2,PSW11_3,74,4C4,3448
78,G6,3662,596,ME16,2,PME16_4,91,5C1,3662
79,G7,3668,602,HB12,2,PMB12_4,115,6C5,3668
80,G8,3376,310,K19,2,PK19_1,138,7D3,3376
81,G9,3390,324,K19,2,PK19_15,176,9D1,3390
82,G10,3630,564,NR8,2,PNR8_1,226,12B1,3630
83,G11,3388,322,K19,2,PK19_13,243,13A3,3388
84,G12,3499,433,MB12,3,PMB12_1,268,14B3,3499
85,H1,7044,564,HB41,5,HB_HB41.14,307,16B2,7044
86,H2,5909,572,UD13,5,UDP_UD13.6,315,16C5,5909
87,H3,3466,400,K100,2,PK100_1,11,1C1,3466
88,H4,3498,432,K6,2,PK6_1,44,3A4,3498
89,H5,3486,420,SWEUSE3,2,PSWEUSE3_1,77,4D2,3486
90,H6,3540,474,fg2,2,Pfg2_2,92,5C2,3540
91,H7,3664,598,K6,2,PK6_2,118,6D3,3664
92,H8,3456,390,M1U,2,PM1U_6,147,8B2,3456
93,H9,3452,386,M1U,2,PM1U_2,182,10A2,3452
94,H10,3544,478,fg2,2,Pfg2_6,228,12B3,3544
95,H11,3360,294,SB16,2,PSB16_6,244,13A4,3360
96,H12,3483,417,HB15,3,PHB15_2,269,14B4,3483
