Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,7041,,K6,5,KB_K6.2,,15D3,7041
2,A2,5787,565,HB47,5,HB_HB47.5,308,16B3,5787
3,A3,5769,573,HB14,5,HB_HB14.3,316,16D1,5769
4,A4,3512,446,VR4,2,PVR4_1,12,1C2,3512
5,A5,3528,462,HB33,2,PHB33_4,46,3B1,3528
6,A6,3462,396,ME10,2,PME10_3,78,4D3,3462
7,A7,3442,376,M16U,2,PM16U_6,95,5C5,3442
8,A8,3496,430,ME15,2,PME15_4,122,7A2,3496
9,A9,3408,342,EZ1,2,PEZ1_5,148,8B3,3408
10,A10,3506,440,MB16,2,PMB16_2,183,10A3,3506
11,A11,3386,320,K19,2,PK19_11,229,12B4,3386
12,A12,3430,364,UD11,2,PUD11_1,245,13A5,3430
13,B1,5790,558,HB49,5,HB_HB49.1,299,15D4,5790
14,B2,5758,566,EZ9,5,EZE_EZ9.3,309,16B4,5758
15,B3,5813,574,ME17,5,ME_ME17.5,317,16D2,5813
16,B4,3440,374,M16U,2,PM16U_4,13,1C3,3440
17,B5,3404,338,EZ1,2,PEZ1_1,47,3B2,3404
18,B6,3414,348,UD4,2,PUD4_2,83,5A3,3414
19,B7,3514,448,SW4,2,PSW4_2,97,5D2,3514
20,B8,3650,584,PK20,2,PPK20_4,123,7A3,3650
21,B9,3444,378,M16U,2,PM16U_8,152,8C2,3444
22,B10,3532,466,FG29,2,PFG29_1,185,10A5,3532
23,B11,3434,368,UD11,2,PUD11_5,230,12B5,3434
24,B12,3526,460,HB33,2,PHB33_2,246,13B1,3526
25,C1,5807,559,K19,5,KB_K19.9,302,16A2,5807
26,C2,5939,567,UP38,5,UDP_UP38.2,310,16B5,5939
27,C3,6107,575,UD4.9,5,UDP_UD4.9,318,16D3,6107
28,C4,3291,224,K15,2,PK15_2,14,1C4,3291
29,C5,3438,372,M16U,2,PM16U_2,52,3C2,3438
30,C6,3420,354,UD7,2,PUD7_1,86,5B1,3420
31,C7,3450,384,SW11,2,PSW11_5,102,6A2,3450
32,C8,3530,464,SEW3,2,PSEW3_1,126,7B1,3530
33,C9,3410,344,EZ2,2,PEZ2_1,154,8C4,3410
34,C10,3432,366,UD11,2,PUD11_3,190,10B5,3432
35,C11,3464,398,ME10,2,PME10_5,231,12C1,3464
36,C12,3372,306,K3,2,PK3_3,247,13B2,3372
37,D1,5759,560,HB11,5,HB_HB11.11,303,16A3,5759
38,D2,5850,568,ME9,5,ME_ME9.5,311,16C1,5850
39,D3,5898,576,M5,5,UDP_M5.3,319,16D4,5898
40,D4,3392,326,K19,2,PK19_17,16,1D1,3392
41,D5,3508,442,MB16,2,PMB16_4,63,4A3,3508
42,D6,3382,316,K19,2,PK19_7,87,5B2,3382
43,D7,3402,336,K13,2,PK13_2,106,6B1,3402
44,D8,3396,330,K19,2,PK19_21,132,7C2,3396
45,D9,3424,358,UD7,2,PUD7_5,164,9A4,3424
46,D10,3502,436,FG17,2,PFG17_1,195,10C5,3502
47,D11,3468,402,K100,2,PK100_3,235,12C5,3468
