Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
53,E5,5533,169,HB41,3,HB_HB41.1,48,3B3,5533
54,E6,5682,180,UD20,3,UDP_UD20.3,59,3D4,5682
55,E7,5579,192,ME17,3,ME_ME17.35,73,4C3,5579
56,E8,5613,203,ORW12,3,ORW_ORW12.2,86,5B1,5613
57,E9,5602,215,ME8,3,ME_ME8.25,98,5D3,5602
58,E10,5684,223,UD20,3,UDP_UD20.7,108,6B3,5684
59,E11,7501,,EZE8,3,EZE_EZ8.4,,6D2,7501
60,E12,6047,243,EZ10,3,EZE_EZ10.1,130,7B5,6047
61,F1,5739,133,fg2,3,WOR_fg2.5,8,1B3,5739
62,F2,5719,143,UP45,3,UDP_UP45.25,18,1D3,5719
63,F3,6036,152,M13,3,UDP_M13.6,29,2B4,6036
64,F4,5606,162,MEP2,3,ME_MEP2.1,39,2D4,5606
65,F5,5536,171,HB41,3,HB_HB41.7,50,3B5,5536
66,F6,5584,181,ME6,3,ME_ME6.1,62,4A2,5584
67,F7,5708,194,UP39,3,UDP_UP39.10,75,4C5,5708
68,F8,5557,204,K15,3,KB_K15.10,87,5B2,5557
69,F9,5627,216,SB8,3,SB_SB8.1,99,5D4,5627
70,F10,5633,224,SEW6,3,SEW_SEW6.5,109,6B4,5633
71,F11,6007,233,HB28,3,HB_HB28.3,118,6D3,6007
72,F12,5513,244,EZ9,3,EZE_EZ9.2,131,7C1,5513
73,G1,6021,134,UP38,3,UDP_UP38.7,9,1B4,6021
74,G2,5717,144,UP45,3,UDP_UP45.12,19,1D4,5717
75,G3,5526,153,HB16,3,HB_HB16.1,30,2B5,5526
76,G4,5640,163,M13,3,UDP_M13.5,42,3A2,5640
77,G5,5654,172,M5,3,UDP_M5.4,51,3C1,5654
78,G6,5591,182,ME6,3,ME_ME6.25,63,4A3,5591
79,G7,6040,195,EZ8,3,EZE_EZ8.1,76,4D1,6040
80,G8,5646,206,M1U,3,UDP_M1U.6,89,5B4,5646
81,G9,6029,217,AU28,3,AU_AU28.2,102,6A2,6029
82,G10,5618,225,P20,3,PK_P20.4,110,6B5,5618
83,G11,5537,236,HB41,3,HB_HB41.9,123,7A3,5537
84,G12,5504,245,EZ2,3,EZE_EZ2.1,132,7C2,5504
85,H1,5711,135,UP45,3,UDP_UP45.5,10,1B5,5711
86,H2,5569,146,ME17,3,ME_ME17.6,23,2A3,5569
87,H3,6030,154,KB19,3,KB_KB19.5,31,2C1,6030
88,H4,5663,164,UD13,3,UDP_UD13.3,43,3A3,5663
89,H5,6044,173,HB32,3,HB_HB32.5,52,3C2,6044
90,H6,5725,183,VR23,3,VR_VR23.19,64,4A4,5725
91,H7,5737,,,,,,,
92,H8,5559,207,K19,3,KB_K19.2,90,5B5,5559
93,H9,5688,218,UD20,3,UDP_UD20.10,103,6A3,5688
94,H10,5563,226,K19,3,KB_K19.10,111,6C1,5563
95,H11,6046,237,HB17,3,HB_HB17.4,124,7A4,6046
96,H12,5733,246,VR31,3,VR_VR31.5,133,7C3,5733
