Index,Cell,Value,ordinal,accession,cabinet,plantID,position,tray,ID
1,A1,6014,127,EZ1,3,EZE_EZ1.7,2,1A2,6014
2,A2,5525,136,HB14,3,HB_HB14.4,11,1C1,5525
3,A3,5738,147,fg2,3,WOR_fg2.3,24,2A4,5738
4,A4,5582,155,ME2,3,ME_ME2.5,32,2C2,5582
5,A5,5573,165,ME17,3,ME_ME17.28,44,3A4,5573
6,A6,6019,175,UP38,3,UDP_UP38.3,54,3C4,6019
7,A7,5647,188,M1U,3,UDP_M1U.8,69,4B4,5647
8,A8,7518,,fg2,3,WOR_fg2.7,,4D3,7518
9,A9,5577,209,ME17,3,ME_ME17.13,92,5C2,5577
10,A10,5575,219,ME17,3,ME_ME17.32,104,6A4,5575
11,A11,5601,227,ME8,3,ME_ME8.7,112,6C2,5601
12,A12,5566,238,ME17,3,ME_ME17.1,125,7A5,5566
13,B1,6023,128,NR6,3,NR_NR6.1,3,1A3,6023
14,B2,5508,137,EZ4,3,EZE_EZ4.1,12,1C2,5508
15,B3,6003,148,FG24,3,FG_FG24.3,25,2A5,6003
16,B4,6004,156,FG24,3,FG_FG24.5,33,2C3,6004
17,B5,5667,166,UD13,3,UDP_UD13.8,45,3A5,5667
18,B6,5552,176,K13,3,KB_K13.10,55,3C5,5552
19,B7,6006,189,HB28,3,HB_HB28.1,70,4B5,6006
20,B8,6002,199,FG24,3,FG_FG24.1,82,5A2,6002
21,B9,5603,210,ME8,3,ME_ME8.9,93,5C3,5603
22,B10,5709,220,UP45,3,UDP_UP45.1,105,6A5,5709
23,B11,5668,228,UD13,3,UDP_UD13.20,113,6C3,5668
24,B12,6001,239,FG27,3,FG_FG27.1,126,7B1,6001
25,C1,5724,129,VR23,3,VR_VR23.1,4,1A4,5724
26,C2,5623,139,SB10,3,SB_SB10.2,14,1C4,5623
27,C3,5530,149,HB19,3,HB_HB19.1,26,2B1,5530
28,C4,5642,157,M13,3,UDP_M13.7,34,2C4,5642
29,C5,5723,167,VR16,3,VR_VR16.1,46,3B1,5723
30,C6,5630,178,SW13,3,SB_SW13.2,57,3D2,5630
31,C7,5598,190,ME8,3,ME_ME8.4,71,4C1,5598
32,C8,5570,200,ME17,3,ME_ME17.8,83,5A3,5570
33,C9,7500,,NR12,3,NR_NR12.1,,5C4,7500
34,C10,5655,221,M5,3,UDP_M5.6,106,6B1,5655
35,C11,5720,229,VR10,3,VR_VR10.4,114,6C4,5720
36,C12,5524,241,HB14,3,HB_HB14.2,128,7B3,5524
37,D1,5717,144,UP45,3,UDP_UP45.12,19,1D4,5717
38,D2,5635,141,SEWUSE3,3,SEW_SEWUSE3.3,16,1D1,5635
39,D3,5658,150,UD10,3,UDP_UD10.1,27,2B2,5658
40,D4,6035,159,M13,3,UDP_M13.4,36,2D1,6035
41,D5,5693,168,UD5,3,UDP_UD5.1,47,3B2,5693
42,D6,5689,179,UD4,3,UDP_UD4.2,58,3D3,5689
43,D7,5590,191,ME6,3,ME_ME6.9,72,4C2,5590
44,D8,5619,202,P4,3,PK_P4.1,85,5A5,5619
45,D9,5657,212,M8,3,UDP_M8.4,95,5C5,5657
46,D10,5615,222,D,3,PK_D.1,107,6B2,5615
47,D11,5516,230,HB11,3,HB_HB11.14,115,6C5,5516
48,D12,5650,242,M4,3,UDP_M4.1,129,7B4,5650
49,E1,5631,131,SEW6,3,SEW_SEW6.1,6,1B1,5631
50,E2,5604,142,ME9,3,ME_ME9.2,17,1D2,5604
51,E3,5625,151,SB16,3,SB_SB16.3,28,2B3,5625
52,E4,5532,160,HB41,3,HB_HB41.13,37,2D2,5532
