time,fastx,sabre,axe,flexbar
user,5.37,0.58,0.44,19.68
sys,0.05,0.07,0.03,0.05
total,5.42,0.65,0.47,19.73
krps,92.2509225092,769.2307692308,1063.8297872341,25.3421186011
